Index,Landing site
2022-03-21,Shangani
2022-03-21,Shangani
,
2022-03-22,Bwawani
2022-03-22,Bwawani
2022-03-22,Bwawani
2022-03-22,Bwawani
2022-03-22,Bwawani
2022-03-22,Bwawani
2022-03-22,Bwawani
2022-03-22,Bwawani
2022-03-24,Msuka
,
2022-03-24,Msuka
2022-03-24,Msuka
2022-03-24,Kizimkazi dimbani
2022-03-24,Kizimkazi dimbani
2022-03-24,Kizimkazi dimbani
2022-03-24,Kizimkazi dimbani
2022-03-20,Tumbuyu
2022-03-23,Shangani
2022-03-26,Shangani
,
,
2022-03-28,Kizimkazi dimbani
2022-03-22,Bwawani
2022-03-22,Bwawani
2022-03-29,Bwawani
2022-03-29,Bwawani
,
2022-03-29,Msuka
,
2022-03-29,Msuka
2022-03-29,Msuka
2022-03-29,Msuka
2022-03-29,Bwawani
2022-03-29,Bwawani
2022-03-29,Bwawani
2022-03-31,Msuka
2022-03-31,Msuka
2022-03-31,Mazizini
2022-03-31,Mazizini
,
2022-04-04,Bwawani
2022-04-04,Bwawani
2022-04-04,Bwawani
2022-04-04,Bwawani
2022-04-04,Bwawani
2022-03-29,Bwawani
2022-03-29,Bwawani
2022-03-29,Bwawani
2022-04-04,Bwawani
2022-04-04,Bwawani
2022-04-05,Msuka
2022-04-03,Shangani
2022-04-03,Shangani
2022-04-07,Kizimkazi dimbani
2022-04-07,Kizimkazi dimbani
,
,
2022-04-07,Msuka
,
,
,
2022-04-07,Msuka
2022-03-29,Bwawani
2022-03-29,Bwawani
2022-03-29,Bwawani
2022-03-29,Bwawani
2022-04-11,Bwawani
2022-04-07,Tanga
,
,
2022-04-12,Tanga
2022-03-29,Bwawani
2022-03-29,Bwawani
2022-04-11,Bwawani
2022-04-11,Bwawani
2022-04-11,Bwawani
2022-04-14,Kizimkazi dimbani
,
,
,
,
,
,
,
,
,
2022-04-19,Shangani
2022-04-19,Shangani
2022-04-20,Kizimkazi dimbani
2022-04-20,Kizimkazi dimbani
,
2022-04-21,Msuka
2022-04-22,Shangani
2022-04-25,Bwawani
2022-04-25,Bwawani
2022-04-25,Bwawani
2022-04-11,Bwawani
2022-04-11,Bwawani
,
,
,
2022-04-26,Kizimkazi dimbani
2022-04-26,Kizimkazi dimbani
,
,
,
,
2022-04-30,Tanga
2022-05-09,Kizimkazi dimbani
2022-05-09,Kizimkazi dimbani
2022-05-09,Kizimkazi dimbani
2022-05-09,Kizimkazi dimbani
2022-05-09,Shangani
2022-05-10,Msuka
2022-05-10,Msuka
2022-05-10,Msuka
2022-05-11,Tanga
2022-05-11,Shangani
2022-05-12,Msuka
2022-05-12,Msuka
2022-05-12,Msuka
2022-05-12,Msuka
2022-05-12,Msuka
2022-05-12,Msuka
2022-05-12,Msuka
2022-04-11,Bwawani
2022-04-11,Bwawani
2022-04-11,Bwawani
2022-04-11,Nungwi
2022-05-16,Bwawani
2022-05-16,Bwawani
2022-05-18,Msuka
2022-05-17,Tanga
2022-05-18,Shangani
2022-05-19,Shangani
2022-05-20,Shangani
2022-05-20,Shangani
2022-05-16,Bwawani
2022-05-16,Bwawani
2022-05-16,Bwawani
2022-05-16,Bwawani
2022-05-16,Bwawani
2022-05-16,Bwawani
2022-05-16,Bwawani
2022-05-16,Bwawani
2022-05-16,Bwawani
2022-05-16,Bwawani
2022-05-23,Tanga
2022-05-23,Tanga
2022-05-23,Shangani
2022-05-23,Shangani
2022-05-24,Kizimkazi dimbani
2022-05-19,Mkokotoni
2022-05-24,Kizimkazi dimbani
2022-05-23,Bwawani
2022-05-23,Bwawani
2022-05-23,Bwawani
2022-05-23,Bwawani
2022-05-23,Bwawani
2022-05-23,Bwawani
2022-05-23,Bwawani
2022-05-23,Bwawani
2022-05-24,Msuka
2022-05-25,Mkokotoni
2022-05-25,Mkokotoni
2022-05-25,Mkokotoni
2022-05-25,Kizimkazi dimbani
2022-05-25,Mkokotoni
2022-05-26,Msuka
2022-05-26,Msuka
2022-05-26,Msuka
2022-05-26,Msuka
2022-05-26,Msuka
2022-05-26,Msuka
2022-05-23,Bwawani
2022-05-23,Bwawani
2022-05-23,Bwawani
2022-05-30,Kizimkazi dimbani
2022-05-30,Kizimkazi dimbani
2022-05-31,Bwawani
2022-05-31,Bwawani
2022-05-31,Bwawani
2022-05-31,Msuka
2022-05-31,Msuka
2022-05-31,Msuka
2022-05-31,Msuka
2022-05-31,Msuka
2022-05-31,Msuka
2022-05-30,Mkokotoni
2022-05-31,Bwawani
2022-05-31,Bwawani
2022-05-31,Bwawani
2022-05-31,Bwawani
2022-06-02,Msuka
2022-06-02,Msuka
2022-06-07,Msuka
2022-06-07,Tanga
2022-06-07,Tanga
2022-06-09,Kizimkazi dimbani
2022-06-09,Msuka
2022-06-09,Msuka
2022-06-09,Msuka
2022-06-09,Msuka
2022-06-09,Msuka
2022-06-09,Msuka
2022-05-31,Bwawani
2022-05-31,Bwawani
2022-05-31,Bwawani
2022-06-13,Bwawani
2022-06-13,Bwawani
2022-06-13,Bwawani
2022-06-14,Kizimkazi dimbani
2022-06-14,Kizimkazi dimbani
2022-06-14,Kizimkazi dimbani
2022-06-14,Kizimkazi dimbani
2022-06-14,Kizimkazi dimbani
2022-05-31,Bwawani
2022-05-31,Bwawani
2022-05-31,Bwawani
2022-06-14,Msuka
2022-06-14,Msuka
2022-06-14,Msuka
2022-06-14,Msuka
2022-06-16,Msuka
2022-05-31,Bwawani
2022-05-31,Bwawani
2022-05-31,Bwawani
2022-06-20,Shangani
2022-06-20,Shangani
2022-06-21,Kizimkazi dimbani
2022-06-21,Msuka
2022-06-21,Msuka
2022-06-21,Bwawani
2022-06-21,Bwawani
2022-06-21,Bwawani
2022-06-21,Bwawani
2022-06-20,Tanga
2022-06-21,Tanga
2022-06-21,Tanga
